role_id,model_type,model_id
1,App\Models\User,90522
1,App\Models\User,90523
1,App\Models\User,90524
1,App\Models\User,90525
1,App\Models\User,90527
1,App\Models\User,90528
1,App\Models\User,90529
1,App\Models\User,90530
1,App\Models\User,90531
1,App\Models\User,90532
1,App\Models\User,90533
1,App\Models\User,90534
1,App\Models\User,90535
1,App\Models\User,90536
1,App\Models\User,90537
1,App\Models\User,90538
1,App\Models\User,90539
1,App\Models\User,90540
1,App\Models\User,90541
1,App\Models\User,90542
1,App\Models\User,90543
1,App\Models\User,90544
1,App\Models\User,90545
1,App\Models\User,90546
1,App\Models\User,90547
1,App\Models\User,90548
1,App\Models\User,90549
1,App\Models\User,90550
1,App\Models\User,90551
1,App\Models\User,90552
1,App\Models\User,90553
1,App\Models\User,90554
1,App\Models\User,90555
1,App\Models\User,90556
1,App\Models\User,90557
1,App\Models\User,90558
1,App\Models\User,90559
1,App\Models\User,90560
1,App\Models\User,90561
1,App\Models\User,90562
1,App\Models\User,90563
1,App\Models\User,90564
1,App\Models\User,90565
1,App\Models\User,90566
1,App\Models\User,90567
1,App\Models\User,90568
1,App\Models\User,90569
1,App\Models\User,90570
1,App\Models\User,90571
1,App\Models\User,90572
1,App\Models\User,90573
1,App\Models\User,90574
1,App\Models\User,90575
1,App\Models\User,90576
1,App\Models\User,90577
1,App\Models\User,90578
1,App\Models\User,90579
1,App\Models\User,90580
1,App\Models\User,90581
1,App\Models\User,90582
1,App\Models\User,90583
1,App\Models\User,90584
1,App\Models\User,90585
1,App\Models\User,90586
1,App\Models\User,90587
1,App\Models\User,90588
1,App\Models\User,90589
1,App\Models\User,90590
1,App\Models\User,90591
1,App\Models\User,90592
1,App\Models\User,90593
1,App\Models\User,90594
1,App\Models\User,90595
1,App\Models\User,90596
1,App\Models\User,90597
1,App\Models\User,90598
1,App\Models\User,90599
1,App\Models\User,90600
1,App\Models\User,90601
1,App\Models\User,90602
1,App\Models\User,90603
1,App\Models\User,90604
1,App\Models\User,90605
1,App\Models\User,90606
1,App\Models\User,90607
1,App\Models\User,90608
1,App\Models\User,90609
1,App\Models\User,90610
1,App\Models\User,90611
1,App\Models\User,90612
1,App\Models\User,90613
1,App\Models\User,90614
1,App\Models\User,90615
1,App\Models\User,90616
1,App\Models\User,90617
1,App\Models\User,90618
1,App\Models\User,90619
1,App\Models\User,90620
1,App\Models\User,90621
1,App\Models\User,90622
1,App\Models\User,90623
1,App\Models\User,90624
1,App\Models\User,90625
1,App\Models\User,90626
1,App\Models\User,90627
1,App\Models\User,90628
1,App\Models\User,90629
1,App\Models\User,90630
1,App\Models\User,90631
1,App\Models\User,90632
1,App\Models\User,90633
1,App\Models\User,90634
1,App\Models\User,90635
1,App\Models\User,90636
